Дата и время;Код класса;Код бумаги;vector_temp;Операция;Цена;Количество
02.11.2021 | 19:00:57;SPBFUT;SiZ1;2;SELL;72271,0;500,0
02.11.2021 | 19:07:52;SPBFUT;SiZ1;4;BUY;72303,0;303,0
02.11.2021 | 19:09:14;SPBFUT;SiZ1;3;SELL;72300,0;368,0
02.11.2021 | 19:09:15;SPBFUT;SFZ1;1;BUY;460,9;617,0
02.11.2021 | 20:42:15;SPBFUT;SiZ1;2;SELL;72253,0;561,0
02.11.2021 | 20:54:02;SPBFUT;SiZ1;1;BUY;72220,0;361,0
02.11.2021 | 20:56:37;SPBFUT;SFZ1;3;SELL;461,11;445,0
02.11.2021 | 23:49:17;SPBFUT;SiZ1;4;BUY;72153,0;500,0
03.11.2021 | 09:11:45;SPBFUT;SFZ1;3;SELL;460,72;700,0
03.11.2021 | 10:09:03;SPBFUT;SiZ1;4;BUY;72084,0;896,0
03.11.2021 | 10:10:32;SPBFUT;SiZ1;3;SELL;72083,0;334,0
03.11.2021 | 10:22:50;SPBFUT;SiZ1;1;BUY;72033,0;322,0
03.11.2021 | 10:30:16;SPBFUT;SiZ1;3;SELL;72020,0;420,0
03.11.2021 | 10:35:45;SPBFUT;SiZ1;1;BUY;71977,0;862,0
03.11.2021 | 10:38:14;SPBFUT;SiZ1;2;SELL;72013,0;303,0
03.11.2021 | 10:51:02;SPBFUT;SiZ1;4;BUY;72020,0;478,0
03.11.2021 | 10:56:07;SPBFUT;SiZ1;2;SELL;72050,0;362,0
03.11.2021 | 11:07:35;SPBFUT;SiZ1;1;BUY;71928,0;698,0
03.11.2021 | 11:09:00;SPBFUT;SiZ1;3;SELL;71921,0;672,0
03.11.2021 | 11:12:36;SPBFUT;SiZ1;1;BUY;71920,0;600,0
03.11.2021 | 11:15:01;SPBFUT;SiZ1;2;SELL;71930,0;389,0
03.11.2021 | 11:30:47;SPBFUT;SiZ1;1;BUY;71887,0;403,0
03.11.2021 | 11:37:48;SPBFUT;SiZ1;2;SELL;71920,0;486,0
03.11.2021 | 11:46:49;SPBFUT;SiZ1;4;BUY;71950,0;731,0
03.11.2021 | 11:52:35;SPBFUT;SiZ1;2;SELL;71980,0;371,0
03.11.2021 | 11:54:42;SPBFUT;SiZ1;1;BUY;71969,0;499,0
03.11.2021 | 11:56:49;SPBFUT;SiZ1;2;SELL;72000,0;477,0
03.11.2021 | 12:00:09;SPBFUT;SiZ1;4;BUY;72035,0;399,0
03.11.2021 | 12:00:21;SPBFUT;SiZ1;3;SELL;72025,0;467,0
03.11.2021 | 12:08:36;SPBFUT;SiZ1;4;BUY;72051,0;377,0
03.11.2021 | 12:11:53;SPBFUT;SiZ1;2;SELL;72141,0;891,0
03.11.2021 | 12:13:30;SPBFUT;SiZ1;4;BUY;72166,0;499,0
03.11.2021 | 12:24:46;SPBFUT;SiZ1;2;SELL;72350,0;361,0
03.11.2021 | 12:27:08;SPBFUT;SiZ1;4;BUY;72360,0;411,0
03.11.2021 | 12:30:09;SPBFUT;SiZ1;3;SELL;72342,0;997,0
03.11.2021 | 12:32:06;SPBFUT;SiZ1;1;BUY;72300,0;1000,0
03.11.2021 | 12:32:17;SPBFUT;SiZ1;2;SELL;72322,0;329,0
03.11.2021 | 12:32:38;SPBFUT;SiZ1;4;BUY;72330,0;487,0
03.11.2021 | 12:32:54;SPBFUT;SiZ1;3;SELL;72316,0;324,0
03.11.2021 | 12:33:50;SPBFUT;SiZ1;4;BUY;72325,0;708,0
03.11.2021 | 12:39:38;SPBFUT;SiZ1;3;SELL;72295,0;378,0
03.11.2021 | 12:39:51;SPBFUT;SiZ1;1;BUY;72294,0;591,0
03.11.2021 | 12:40:07;SPBFUT;SiZ1;2;SELL;72310,0;600,0
03.11.2021 | 12:41:43;SPBFUT;SiZ1;4;BUY;72314,0;372,0
03.11.2021 | 12:42:55;SPBFUT;SFZ1;3;SELL;460,97;580,0
03.11.2021 | 12:46:31;SPBFUT;SiZ1;4;BUY;72340,0;984,0
03.11.2021 | 12:53:21;SPBFUT;SiZ1;3;SELL;72330,0;423,0
03.11.2021 | 12:54:45;SPBFUT;SiZ1;1;BUY;72327,0;374,0
03.11.2021 | 13:01:11;SPBFUT;SiZ1;2;SELL;72390,0;441,0
03.11.2021 | 13:05:56;SPBFUT;SiZ1;1;BUY;72378,0;470,0
03.11.2021 | 13:12:19;SPBFUT;SiZ1;2;SELL;72450,0;605,0
03.11.2021 | 13:14:18;SPBFUT;SiZ1;4;BUY;72499,0;500,0
03.11.2021 | 13:14:21;SPBFUT;SiZ1;2;SELL;72500,0;1606,0
03.11.2021 | 13:15:35;SPBFUT;SiZ1;4;BUY;72542,0;325,0
03.11.2021 | 13:17:38;SPBFUT;SiZ1;3;SELL;72468,0;495,0
03.11.2021 | 13:20:16;SPBFUT;SiZ1;1;BUY;72460,0;687,0
03.11.2021 | 13:26:20;SPBFUT;SiZ1;3;SELL;72454,0;557,0
03.11.2021 | 13:29:14;SPBFUT;SiZ1;1;BUY;72408,0;397,0
03.11.2021 | 13:33:47;SPBFUT;SiZ1;3;SELL;72400,0;551,0
03.11.2021 | 13:36:17;SPBFUT;SiZ1;4;BUY;72429,0;921,0
03.11.2021 | 13:49:53;SPBFUT;SiZ1;2;SELL;72440,0;703,0
03.11.2021 | 13:51:26;SPBFUT;SiZ1;1;BUY;72426,0;400,0
03.11.2021 | 13:54:10;SPBFUT;SiZ1;3;SELL;72408,0;781,0
03.11.2021 | 14:07:04;SPBFUT;SiZ1;4;BUY;72450,0;431,0
03.11.2021 | 14:18:08;SPBFUT;SiZ1;2;SELL;72628,0;367,0
03.11.2021 | 14:18:35;SPBFUT;SiZ1;2;BUY;72628,0;1418,0
03.11.2021 | 14:18:38;SPBFUT;SiZ1;3;SELL;72625,0;493,0
03.11.2021 | 14:20:00;SPBFUT;SiZ1;4;BUY;72635,0;1003,0
03.11.2021 | 14:20:19;SPBFUT;SiZ1;2;SELL;72670,0;491,0
03.11.2021 | 14:22:22;SPBFUT;SiZ1;1;BUY;72649,0;396,0
03.11.2021 | 14:23:06;SPBFUT;SiZ1;3;SELL;72632,0;455,0
03.11.2021 | 14:23:40;SPBFUT;SiZ1;1;BUY;72630,0;825,0
03.11.2021 | 14:25:18;SPBFUT;SiZ1;3;SELL;72580,0;451,0
03.11.2021 | 14:26:54;SPBFUT;SiZ1;1;BUY;72574,0;474,0
03.11.2021 | 14:31:57;SPBFUT;SiZ1;2;SELL;72580,0;834,0
03.11.2021 | 14:33:05;SPBFUT;SiZ1;1;BUY;72570,0;809,0
03.11.2021 | 14:40:09;SPBFUT;SiZ1;3;SELL;72545,0;386,0
03.11.2021 | 14:42:50;SPBFUT;SiZ1;4;BUY;72575,0;661,0
03.11.2021 | 14:46:30;SPBFUT;SiZ1;2;SELL;72599,0;467,0
03.11.2021 | 14:51:39;SPBFUT;SiZ1;4;BUY;72627,0;506,0
03.11.2021 | 14:53:41;SPBFUT;SiZ1;3;SELL;72600,0;449,0
03.11.2021 | 14:55:51;SPBFUT;SiZ1;4;BUY;72612,0;329,0
03.11.2021 | 15:02:46;SPBFUT;SiZ1;3;SELL;72586,0;495,0
03.11.2021 | 15:14:06;SPBFUT;SiZ1;1;BUY;72451,0;517,0
03.11.2021 | 15:14:06;SPBFUT;SiZ1;3;SELL;72448,0;836,0
03.11.2021 | 15:15:06;SPBFUT;SiZ1;1;BUY;72447,0;495,0
03.11.2021 | 15:16:18;SPBFUT;SiZ1;2;SELL;72500,0;313,0
03.11.2021 | 15:17:12;SPBFUT;SiZ1;1;BUY;72490,0;495,0
03.11.2021 | 15:19:46;SPBFUT;SFZ1;3;SELL;461,05;500,0
03.11.2021 | 15:21:23;SPBFUT;SiZ1;4;BUY;72550,0;330,0
03.11.2021 | 15:31:53;SPBFUT;SiZ1;3;SELL;72535,0;356,0
03.11.2021 | 15:41:41;SPBFUT;SiZ1;4;BUY;72548,0;495,0
03.11.2021 | 15:44:56;SPBFUT;SiZ1;2;SELL;72560,0;371,0
03.11.2021 | 15:45:18;SPBFUT;SiZ1;4;BUY;72567,0;454,0
03.11.2021 | 15:56:22;SPBFUT;SiZ1;3;SELL;72484,0;361,0
03.11.2021 | 16:00:55;SPBFUT;SiZ1;1;BUY;72469,0;495,0
03.11.2021 | 16:01:44;SPBFUT;SiZ1;2;SELL;72509,0;369,0
03.11.2021 | 16:05:54;SPBFUT;SiZ1;4;BUY;72516,0;374,0
03.11.2021 | 16:10:38;SPBFUT;SiZ1;2;SELL;72535,0;400,0
03.11.2021 | 16:26:05;SPBFUT;SiZ1;4;BUY;72560,0;1279,0
03.11.2021 | 16:37:23;SPBFUT;SiZ1;4;SELL;72560,0;318,0
03.11.2021 | 16:49:07;SPBFUT;SiZ1;4;BUY;72563,0;350,0
03.11.2021 | 17:07:54;SPBFUT;SiZ1;2;SELL;72700,0;496,0
03.11.2021 | 17:09:13;SPBFUT;SiZ1;4;BUY;72728,0;1357,0
03.11.2021 | 17:09:20;SPBFUT;SiZ1;3;SELL;72726,0;495,0
03.11.2021 | 17:11:22;SPBFUT;SiZ1;1;BUY;72725,0;373,0
03.11.2021 | 17:12:25;SPBFUT;SiZ1;3;SELL;72708,0;565,0
03.11.2021 | 17:12:33;SPBFUT;SiZ1;4;BUY;72717,0;305,0
03.11.2021 | 17:17:50;SPBFUT;SiZ1;2;SELL;72740,0;314,0
03.11.2021 | 17:18:25;SPBFUT;SiZ1;4;BUY;72760,0;1607,0
03.11.2021 | 17:18:25;SPBFUT;SiZ1;4;SELL;72760,0;450,0
03.11.2021 | 17:18:32;SPBFUT;SiZ1;4;BUY;72770,0;500,0
03.11.2021 | 17:18:32;SPBFUT;SiZ1;4;SELL;72770,0;1087,0
03.11.2021 | 17:18:41;SPBFUT;SiZ1;4;BUY;72777,0;403,0
03.11.2021 | 17:21:59;SPBFUT;SiZ1;3;SELL;72773,0;332,0
03.11.2021 | 17:23:03;SPBFUT;SiZ1;1;BUY;72732,0;457,0
03.11.2021 | 17:25:59;SPBFUT;SiZ1;3;SELL;72692,0;495,0
03.11.2021 | 17:29:56;SPBFUT;SiZ1;1;BUY;72678,0;495,0
03.11.2021 | 17:35:06;SPBFUT;SiZ1;2;SELL;72667,0;398,0
03.11.2021 | 17:39:46;SPBFUT;SiZ1;1;BUY;72637,0;351,0
03.11.2021 | 17:41:12;SPBFUT;SiZ1;3;SELL;72622,0;433,0
03.11.2021 | 17:41:35;SPBFUT;SiZ1;4;BUY;72637,0;938,0
03.11.2021 | 17:41:54;SPBFUT;SiZ1;2;SELL;72650,0;434,0
03.11.2021 | 17:44:04;SPBFUT;SiZ1;1;BUY;72570,0;463,0
03.11.2021 | 17:46:40;SPBFUT;SiZ1;2;SELL;72626,0;329,0
03.11.2021 | 17:49:34;SPBFUT;SiZ1;1;BUY;72618,0;1072,0
03.11.2021 | 18:02:11;SPBFUT;SiZ1;2;SELL;72695,0;308,0
03.11.2021 | 18:02:19;SPBFUT;SiZ1;4;BUY;72700,0;1104,0
03.11.2021 | 18:07:47;SPBFUT;SiZ1;2;SELL;72725,0;389,0
03.11.2021 | 18:08:23;SPBFUT;SiZ1;2;BUY;72725,0;746,0
03.11.2021 | 18:18:27;SPBFUT;SiZ1;2;SELL;72760,0;332,0
03.11.2021 | 18:19:23;SPBFUT;SiZ1;4;BUY;72762,0;331,0
03.11.2021 | 18:40:25;SPBFUT;SiZ1;3;SELL;72755,0;325,0
03.11.2021 | 18:40:44;SPBFUT;SiZ1;1;BUY;72747,0;485,0
03.11.2021 | 19:05:54;SPBFUT;SiZ1;1;SELL;72747,0;359,0
03.11.2021 | 19:16:04;SPBFUT;SiZ1;1;BUY;72715,0;444,0
03.11.2021 | 19:19:09;SPBFUT;SiZ1;3;SELL;72673,0;395,0
03.11.2021 | 19:20:39;SPBFUT;SiZ1;1;BUY;72650,0;500,0
03.11.2021 | 19:26:59;SPBFUT;SiZ1;3;SELL;72623,0;356,0
03.11.2021 | 19:27:42;SPBFUT;SiZ1;1;BUY;72610,0;353,0
03.11.2021 | 19:54:14;SPBFUT;SiZ1;2;SELL;72764,0;483,0
03.11.2021 | 19:57:24;SPBFUT;SiZ1;1;BUY;72738,0;464,0
03.11.2021 | 19:57:29;SPBFUT;SiZ1;3;SELL;72734,0;328,0
03.11.2021 | 20:02:50;SPBFUT;SiZ1;1;BUY;72706,0;478,0
03.11.2021 | 20:05:51;SPBFUT;SiZ1;2;SELL;72715,0;316,0
03.11.2021 | 20:06:11;SPBFUT;SiZ1;4;BUY;72720,0;956,0
03.11.2021 | 20:14:58;SPBFUT;SiZ1;2;SELL;72749,0;1436,0
03.11.2021 | 20:15:35;SPBFUT;SiZ1;1;BUY;72737,0;435,0
03.11.2021 | 20:18:41;SPBFUT;SiZ1;3;SELL;72710,0;494,0
03.11.2021 | 20:19:08;SPBFUT;SiZ1;1;BUY;72698,0;445,0
03.11.2021 | 20:24:22;SPBFUT;SiZ1;2;SELL;72710,0;361,0
03.11.2021 | 20:39:47;SPBFUT;SiZ1;4;BUY;72716,0;422,0
03.11.2021 | 20:47:12;SPBFUT;SiZ1;2;SELL;72736,0;303,0
03.11.2021 | 20:59:08;SPBFUT;SiZ1;1;BUY;72733,0;1195,0
03.11.2021 | 21:01:53;SPBFUT;SiZ1;3;SELL;72530,0;356,0
03.11.2021 | 21:02:02;SPBFUT;SiZ1;4;BUY;72570,0;954,0
03.11.2021 | 21:04:30;SPBFUT;SiZ1;3;SELL;72545,0;1000,0
03.11.2021 | 21:21:46;SPBFUT;SiZ1;4;BUY;72600,0;2766,0
03.11.2021 | 21:25:20;SPBFUT;SiZ1;3;SELL;72590,0;469,0
03.11.2021 | 21:28:06;SPBFUT;SiZ1;4;BUY;72650,0;500,0
03.11.2021 | 21:28:06;SPBFUT;SiZ1;4;SELL;72650,0;500,0
03.11.2021 | 21:35:32;SPBFUT;SiZ1;4;BUY;72709,0;346,0
03.11.2021 | 21:46:48;SPBFUT;SiZ1;3;SELL;72537,0;926,0
03.11.2021 | 21:50:52;SPBFUT;SiZ1;1;BUY;72441,0;567,0
03.11.2021 | 21:51:17;SPBFUT;SiZ1;3;SELL;72440,0;421,0
03.11.2021 | 21:55:34;SPBFUT;SiZ1;4;BUY;72500,0;923,0
03.11.2021 | 22:04:58;SPBFUT;SiZ1;2;SELL;72517,0;1868,0
03.11.2021 | 22:05:03;SPBFUT;SiZ1;4;BUY;72528,0;583,0
03.11.2021 | 22:07:15;SPBFUT;SiZ1;3;SELL;72500,0;524,0
03.11.2021 | 22:07:27;SPBFUT;SiZ1;1;BUY;72485,0;1246,0
03.11.2021 | 22:15:35;SPBFUT;SiZ1;2;SELL;72507,0;731,0
03.11.2021 | 22:17:49;SPBFUT;SiZ1;1;BUY;72466,0;1113,0
03.11.2021 | 22:18:44;SPBFUT;SiZ1;2;SELL;72487,0;350,0
03.11.2021 | 22:23:37;SPBFUT;SiZ1;2;SELL;72500,0;700,0
03.11.2021 | 22:31:35;SPBFUT;SiZ1;1;BUY;72473,0;1373,0
03.11.2021 | 22:55:37;SPBFUT;SiZ1;3;SELL;72425,0;382,0
03.11.2021 | 23:09:29;SPBFUT;SiZ1;1;BUY;72396,0;336,0
03.11.2021 | 23:14:22;SPBFUT;SiZ1;3;SELL;72366,0;477,0
